image_path,xmin,ymin,xmax,ymax,label
D_original.jpg,1177,1516,1257,1596,Bird
D_original.jpg,1216,2692,1296,2772,Bird
D_original.jpg,2516,2289,2596,2369,Bird
D_original.jpg,3046,2323,3126,2403,Bird
D_original.jpg,2343,47,2423,127,Bird
D_original.jpg,1889,1732,1969,1812,Bird
D_original.jpg,2155,1411,2235,1491,Bird
D_original.jpg,1938,569,2018,649,Bird
D_original.jpg,1751,267,1831,347,Bird
D_original.jpg,1785,187,1865,267,Bird
D_original.jpg,1637,505,1717,585,Bird
D_original.jpg,1646,1384,1726,1464,Bird
D_original.jpg,2272,16,2352,96,Bird
D_original.jpg,2439,2312,2519,2392,Bird
D_original.jpg,1210,1681,1290,1761,Bird
D_original.jpg,1650,1558,1730,1638,Bird
D_original.jpg,2439,1907,2519,1987,Bird
D_original.jpg,2631,1673,2711,1753,Bird
D_original.jpg,1564,2187,1644,2267,Bird
D_original.jpg,484,2822,564,2902,Bird
D_original.jpg,1797,2300,1877,2380,Bird
D_original.jpg,2843,2035,2923,2115,Bird
D_original.jpg,1256,1470,1336,1550,Bird
D_original.jpg,3005,2003,3085,2083,Bird
D_original.jpg,1358,1348,1438,1428,Bird
D_original.jpg,1782,1729,1862,1809,Bird
D_original.jpg,660,1976,740,2056,Bird
D_original.jpg,724,2821,804,2901,Bird
D_original.jpg,2231,2261,2311,2341,Bird
D_original.jpg,1042,1658,1122,1738,Bird
D_original.jpg,1894,1665,1974,1745,Bird
D_original.jpg,1251,2225,1331,2305,Bird
D_original.jpg,640,2711,720,2791,Bird
D_original.jpg,1199,1223,1279,1303,Bird
D_original.jpg,2377,2148,2457,2228,Bird
D_original.jpg,161,146,241,226,Bird
D_original.jpg,1959,1076,2039,1156,Bird
D_original.jpg,1744,1551,1824,1631,Bird
D_original.jpg,1677,2151,1757,2231,Bird
D_original.jpg,2314,1196,2394,1276,Bird
D_original.jpg,1938,1513,2018,1593,Bird
D_original.jpg,1536,476,1616,556,Bird
D_original.jpg,1494,1837,1574,1917,Bird
D_original.jpg,1396,2248,1476,2328,Bird
D_original.jpg,1485,163,1565,243,Bird
D_original.jpg,1600,237,1680,317,Bird
D_original.jpg,316,140,396,220,Bird
D_original.jpg,1365,1146,1445,1226,Bird
D_original.jpg,2382,200,2462,280,Bird
D_original.jpg,1317,2321,1397,2401,Bird
D_original.jpg,3068,600,3148,680,Bird
D_original.jpg,2247,1230,2327,1310,Bird
D_original.jpg,1202,2412,1282,2492,Bird
D_original.jpg,2526,1282,2606,1362,Bird
D_original.jpg,1300,2014,1380,2094,Bird
D_original.jpg,523,57,603,137,Bird
D_original.jpg,399,2662,479,2742,Bird
D_original.jpg,670,2914,750,2994,Bird
D_original.jpg,2813,6,2893,86,Bird
D_original.jpg,1363,378,1443,458,Bird
D_original.jpg,1404,917,1484,997,Bird
D_original.jpg,2563,1692,2643,1772,Bird
D_original.jpg,1617,1194,1697,1274,Bird
D_original.jpg,1562,191,1642,271,Bird
D_original.jpg,2402,1218,2482,1298,Bird
D_original.jpg,379,69,459,149,Bird
D_original.jpg,2079,1227,2159,1307,Bird
D_original.jpg,1342,1240,1422,1320,Bird
D_original.jpg,2092,1896,2172,1976,Bird
D_original.jpg,1449,1740,1529,1820,Bird
D_original.jpg,2882,45,2962,125,Bird
D_original.jpg,1372,1484,1452,1564,Bird
D_original.jpg,1164,1624,1244,1704,Bird
D_original.jpg,2426,153,2506,233,Bird
D_original.jpg,1868,1106,1948,1186,Bird
D_original.jpg,149,3020,229,3100,Bird
D_original.jpg,287,2759,367,2839,Bird
D_original.jpg,2993,1430,3073,1510,Bird
D_original.jpg,1536,2121,1616,2201,Bird
